,0,1,2
24,false,"“If I mail in my ballot on Sunday and show up to the polling station on Tuesday, they won’t know if I’ve already voted or not. That, my friends, is a serious concern for all of us.”","By Bill McCarthy • August 31, 2020"
25,false,“Cuomo ended cash bail ... and now the crime rate has gone through the roof.”,"By Jill Terreri Ramos • August 29, 2020"
26,pants-fire,Says Joe Biden “abandoned Scranton.”,"By Jessica Calefati • August 29, 2020"
27,true,“Video showed police thank (Kyle Rittenhouse) & give him water prior to the killings”,"By Eric Litke • August 28, 2020"
28,false,“At 17 years old Kyle (Rittenhouse) was perfectly legal to be able to possess that rifle without parental supervision.”,"By Daniel Funke • August 28, 2020"
29,barely-true,"Says Gov. Tony Evers and Lt. Gov. Mandela Barnes, after police shooting of Jacob Blake, ""did not call for peace. They did not encourage calm.","By D.L. Davis • August 28, 2020"
30,half-true,“Two mail in ballots in PA (were) sent to the same person with their names on both a week and a half apart.”,"By Samantha Putterman • August 28, 2020"
31,pants-fire,Suggests the alleged Kenosha shooter’s father is a deputy in the Kenosha sheriff’s department.,"By Jon Greenberg • August 28, 2020"
32,false,Says Melania Trump is the “first FLOTUS to visit troops in a combat zone since 1969.”,"By Samantha Putterman • August 28, 2020"
33,pants-fire,"Says Jill Biden said, “all Americans will be required to learn Spanish when we win”","By Amy Sherman • August 28, 2020"
34,false,Says Joe Biden “is even talking about taking the wall down.”,"By Miriam Valverde • August 28, 2020"
35,false,"“... in 2013 Obama determined Social Security would not send checks through the USPS, because it was not secure”","By Madison Czopek • August 28, 2020"
36,false,"“Trump denies fire assistance to California because they didn't vote for him, but helped Russia with their wildfires in Siberia.”","By Chris Nichols • August 28, 2020"
37,half-true,"Says Jacob Blake, shot by police in Kenosha, had a warrant for sexual assault and prior convictions for gun use","By Eric Litke • August 27, 2020"
38,mostly-true,"In April, when asked how he would handle the COVID-19 pandemic, Tommy Tuberville ""said he didn't have a clue"" and after winning the Republican nomination in July, ""he still said he didn't have a clue.""","By Tom Kertscher • August 27, 2020"
39,half-true,“Police training in Wisconsin is 21 weeks. A cosmetology license takes 40 weeks.”,"By Haley BeMiller • August 27, 2020"
40,false,Says Jacob Blake “declared he had a gun in the car and was going to go get it” and was “brandishing” a knife,"By Eric Litke • August 27, 2020"
41,true,"Police are ""20.8 times more likely to kill than be killed by a criminal.""","By Madeline Heim • August 27, 2020"
42,false,“BLM rioters just burned down a black church in a black community with a BLM sign out front.”,"By Ciara O'Rourke • August 27, 2020"
43,pants-fire,Photo shows Don Lemon and Jeffrey Epstein embracing.,"By Ciara O'Rourke • August 27, 2020"
44,false,Says James Madison “signed the Declaration of Independence.”,"By Paul Specht • August 27, 2020"
45,barely-true,“President Trump marshalled the full resources of our federal government from the outset. He directed us to forge a seamless partnership with governors across America in both political parties.”,"By Jon Greenberg • August 27, 2020"
46,mostly-true,“Drug overdose deaths decreased in 2018 for the first time in 30 years.”,"By Julie Appleby • August 26, 2020"
47,false,“Jacob S. Blake is a Child (16 YO Girl) Rapist.”,"By Daniel Funke • August 26, 2020"
48,false,Photos show that the person who shot three people during a protest over the police shooting of Jacob Blake is a police officer.,"By Ciara O'Rourke • August 26, 2020"
49,false,These photos show Jacob Blake posing with a gun.,"By Ciara O'Rourke • August 26, 2020"
50,barely-true,Says Jill Schupp has shown a “disturbing pattern of putting sex offenders over our safety.”,"By Tom Kertscher • August 26, 2020"
51,pants-fire,Says Nancy Pelosi passed a bill awarding a $9 billion contract to her husband’s company.,"By Noah Y. Kim • August 26, 2020"
52,false,"Says Joe Biden and Kamala Harris would raise the federal income tax rate for a person with a bi-weekly gross salary of $3,000 to 39.6%, costing “nearly half your paycheck.”","By Bill McCarthy • August 26, 2020"
53,false,Clicking on this link in a text message lets sex traffickers track you.,"By Ciara O'Rourke • August 26, 2020"
54,mostly-true,"Says Joe Biden “voted for the Iraq War … He supported war in Serbia, Syria, Libya.”","By Miriam Valverde • August 26, 2020"
55,mostly-true,Says Donald Trump “proposes cutting a half a billion dollars of local police support.”,"By Jon Greenberg • August 25, 2020"
56,false,Democrats and Joe Biden “want to abolish the suburbs altogether by ending single-family home zoning.”,"By Bill McCarthy • August 25, 2020"
57,false,"Says Michelle Obama said, “Vote Democrat or the riots and violence will continue.”","By Ciara O'Rourke • August 25, 2020"
58,half-true,Sen. Steve Daines “voted to give billions in tax breaks to big drug companies even as they raised prices.”,"By Noah Y. Kim • August 25, 2020"
59,false,Says Joe Biden and Kamala Harris “want massive tax hikes on working families.”,"By Louis Jacobson • August 25, 2020"
60,false,"“Melania dug up the WH Rose Garden, removing roses from every First Lady since 1913.”","By Ciara O'Rourke • August 24, 2020"
61,false,Says Rep. Elissa Slotkin “voted against condemning cyber attacks by the Chinese Communist Party on American organizations developing COVID-19 treatments.”,"By Clara Hendrickson • August 24, 2020"
62,pants-fire,"Says Joe Biden’s Democratic National Convention speech “had to be taped in segments, and the segments had to be edited together.”","By Bill McCarthy • August 24, 2020"
63,false,“QAnon violence! There is none.”,"By Bill McCarthy • August 24, 2020"
64,false,Says a video shared to his social media shows vehicles with broken windows in a parking garage used by state agencies in Texas on “the same night the City of Austin voted to cut $150 million” from the police department.”,"By Madlin Mekelburg • August 24, 2020"
65,barely-true,“Does the #DemConvention know @NYGovCuomo forced nursing homes across NY to take in COVID positive patients and planted the seeds of infection that killed thousands of grandmothers and grandfathers?”,"By Michelle Andrews • August 24, 2020"
66,false,"""In 3 months, Melania took 21 trips to NY, to get her hair done, at taxpayer cost of $675,000 or $32,143/trip.""","By Noah Y. Kim • August 24, 2020"
67,pants-fire,"“So this is just a way they’re trying to steal the election, and everybody knows that. Because the only way they’re going to win is by a rigged election.”","By Louis Jacobson • August 24, 2020"
68,mostly-true,Says Donald Trump's payroll tax deferral “could leave American workers liable for thousands of dollars during tax season and could potentially leave programs like Social Security and Medicare weakened.”,"By Jon Greenberg • August 24, 2020"
69,barely-true,Kanye West’s access to Wisconsin’s ballot was “denied by liberals.”,"By Haley BeMiller • August 21, 2020"
70,pants-fire,Photos show former President Barack Obama acting inappropriately with a child.,"By Ciara O'Rourke • August 21, 2020"
71,barely-true,“The DNC omitted ‘one nation under God’ from the Pledge of Allegiance.”,"By Daniel Funke • August 21, 2020"
72,false,Says this photo shows Joe Biden kissing and biting a child on the cheek.,"By Samantha Putterman • August 21, 2020"
73,false,"Says Nancy Pelosi “wants to remove votes from soldiers overseas” and said, “They don’t even live here.”","By Ciara O'Rourke • August 21, 2020"
74,barely-true,“The Post Office advises never send cash in the mail. It’s not secure. Vote by mail?”,"By Ciara O'Rourke • August 21, 2020"
75,half-true,“This USPS employee was caught taking down Trump signs. These people are also responsible for the mail in ballots they are pushing so hard.”,"By Ciara O'Rourke • August 21, 2020"
76,false,"Says President Barack Obama “spied on my campaign, and got caught!”","By Jon Greenberg • August 20, 2020"
77,barely-true,"Says Joe Biden told Americans, ‘If you elect me, your taxes are going to be raised, not cut.”","By Bill McCarthy • August 20, 2020"
78,barely-true,“At UNC 14% of students tested positive.”,"By Paul Specht • August 20, 2020"
79,barely-true,Says Gov. Andrew Cuomo and Democratic lawmakers are “granting free tuition to illegal immigrants while closing Excelsior Scholarship applications to citizen students.”,"By John Pullano • August 20, 2020"
80,mostly-true,"“The fact is that in terms of the risk to schoolkids, this is lower risk than seasonal influenza.”","By Phil Galewitz • August 20, 2020"
81,false,“Thousands of Seattle Democrats gather to demand mail-in voting because it’s too dangerous to vote in-person.”,"By Ciara O'Rourke • August 20, 2020"
82,false,"“Biden’s tax rate on a family making 75,000 dollars would go from 12% to 25%.”","By Bill McCarthy • August 20, 2020"
83,false,"Photos show Kamala Harris, Joe Biden, Gretchen Whitmer and Cory Booker violating COVID-19 safety precautions.","By Ciara O'Rourke • August 19, 2020"
84,barely-true,Goodyear Tires “announced a BAN ON MAGA HATS…This is what the Radical Left Democrats do.”,"By Noah Y. Kim • August 19, 2020"
85,false,“Cal Cunningham has been silent on this on defunding the police; I assume his silence is consent.”,"By Paul Specht • August 19, 2020"
86,mostly-true,"“When I ran for Congress, I promised to refuse money from corporate PACs. I’ve kept that promise.”","By Warren Fiske • August 19, 2020"
87,false,Says Kamala Harris inaccurately “claimed to be bussed in the 60’s due to segregation type issues.”,"By Ciara O'Rourke • August 19, 2020"
88,false,Says Mike Pence “said he won’t debate Kamala Harris.”,"By Ciara O'Rourke • August 19, 2020"
89,false,"Amid COVID-19, 25 of the 26 Republican governors ""have decided to play football,"" but ""three-fourths"" of the 24 Democratic governors ""have decided not to play already and most will probably not play.”","By Tom Kertscher • August 19, 2020"
90,false,"Says Kamala Harris said, “I don’t like Joe Biden and do not like his history with certain people or who he’s aligned with, he’s trash to me.”","By Ciara O'Rourke • August 19, 2020"
91,half-true,"Says Condoleezza Rice said, “If you are taught bitterness and anger, then you will believe you are a victim. You will feel aggrieved and the twin brother of aggrievement is entitlement. So now you think you are owed something and you don’t have to work for it and now you’re on a really bad road to nowhere because there are people who will play to that sense of victimhood, aggrievement and entitlement, and you still won’t have a job.”","By Ciara O'Rourke • August 19, 2020"
92,false,A coloring book that describes Joe Biden as “America’s Sexiest Moderate” is being marketed to children.,"By Ciara O'Rourke • August 19, 2020"
93,mostly-true,"“In West Virginia alone, overdoses have increased by 50% during the #COVID-19 pandemic.”","By Patrick Orsagos • August 19, 2020"
94,mostly-true,The United States is “the only major industrial economy to have its unemployment rate triple” since the coronavirus pandemic began.,"By Louis Jacobson • August 18, 2020"
95,pants-fire,"“8% of the votes cast” in Michigan’s Aug. 4 primary, 864 mailed ballots, came from dead voters. “NOTHING TO SEE HERE!!!”","By Clara Hendrickson • August 18, 2020"
96,false,A photo shows Kamala Harris is “listed as Caucasian on her birth certificate.”,"By Ciara O'Rourke • August 18, 2020"
97,false,"The coronavirus has seen a “big surge in New Zealand. It's terrible. We don't want that.""","By Bill McCarthy • August 18, 2020"
98,false,"“In California, Democrats have intentionally implemented rolling blackouts.”","By Chris Nichols • August 18, 2020"
99,false,"Says Ben Shapiro tweeted, “The USPS is not only a bloated and outdate government agency, it is also ineffective and incompetent. It’s been 2 months since my wife went on a Hawaii vacation with her personal trainer; she said she would send me postcards every day and so far none of them have arrived.”","By Ciara O'Rourke • August 18, 2020"
100,false,"""Our (COVID-19) numbers are better than almost all countries.""","By Jon Greenberg • August 18, 2020"
101,mostly-true,"Postmaster General Louis DeJoy “gave $400,000 to Republicans just this year” and has “between $30 and $75 million in assets of direct competitors to the United States Postal Service.”","By Daniel Funke • August 18, 2020"
102,false,"“As of the last 24 hours this is the protocol regarding masks: Masks should only be used by healthcare workers, caretakers or by people who are sick with symptoms like fever and cough.”","By Aaron Sharockman • August 18, 2020"
103,true,"“In one of the states that determined the outcome” of the 2016 presidential race, “the winning margin averaged out to just two votes per precinct, two votes.”","By Louis Jacobson • August 18, 2020"
104,half-true,"""Social Security beneficiaries count on the post office to get their checks.”","By Samantha Putterman • August 18, 2020"
105,false,"Says Democratic presidential nominee Joe Biden backs a fracking ban that would cost 100,000 Wisconsin jobs","By Laura Schulte • August 17, 2020"
106,pants-fire,Contractors hired by government officials to frame Donald Trump are “behind the fake news in mainstream media” and recent protests.,"By Ciara O'Rourke • August 17, 2020"
107,barely-true,“Doug Collins repeatedly joined liberal Stacey Abrams to raise taxes...Kelly’s never voted for a tax increase — and never will.”,"By Noah Y. Kim • August 17, 2020"
108,half-true,"“For the past three years, the state senator who represents Speaker Nancy Pelosi’s San Francisco, has led a push to abolish single-family zoning in California.”","By Chris Nichols • August 17, 2020"
109,false,"Says Kamala Harris said, “If elected & you don’t surrender your guns, I will sign an executive order & the police will show up at your door.”","By Madison Czopek • August 17, 2020"
110,false,Says a picture of stacked mailboxes is proof of voter suppression in Wisconsin,"By Eric Litke • August 17, 2020"
111,false,"“[Steve] Bullock’s health care plan will force rural hospitals to close. Medicare as we know it will change, replaced by a government-run program with fewer doctors and longer wait times.”","By Victoria Knight • August 17, 2020"
112,false,Photo shows Barack Obama and George Clooney in a compromising situation with a child.,"By Ciara O'Rourke • August 17, 2020"
113,barely-true,“New York Mail-In voting is in a disastrous state of condition. Votes from many weeks ago are missing - a total mess. They have no idea what is going on. Rigged Election.”,"By Jill Terreri Ramos • August 14, 2020"
114,false,“Kamala Harris refused to be sworn in using the Bible.”,"By Ciara O'Rourke • August 14, 2020"
115,half-true,Says Sara Gideon’s husband’s law firm “took up to $2 million” from the same federal program she “falsely” attacked Susan Collins over.,"By Tom Kertscher • August 14, 2020"
116,mostly-true,"When COVID-19 struck, the Illinois Department of Employment Security “was hit with something no one expected: 10 to 20 times the claims, even during the worst recession of my lifetime.”","By Kiannah Sepeda-Miller • August 14, 2020"
117,false,Says Kamala Harris wants to eliminate beef.,"By Sophie Austin • August 14, 2020"
118,barely-true,"Says Susan Collins ""voted against accountability for opioid makers” and denied taking campaign money from a family who made its wealth selling OxyContin.","By Tom Kertscher • August 14, 2020"
119,false,“Kamala Harris is the prosecutor who refused to charge the police in the murder of Oscar Grant!”,"By Ciara O'Rourke • August 14, 2020"
120,false,"Says Biden supports a school choice ban that would impact 74,000 Wisconsin students.","By Eric Litke • August 14, 2020"
121,false,Says in Texas the “average age of the Republican voter is like 20 years older than the average Democrat.”,"By Madlin Mekelburg • August 14, 2020"
122,barely-true,Says Kamala Harris “advocated for restoring voting rights for the Boston bomber.”,"By Tom Kertscher • August 14, 2020"
123,barely-true,"GOP-backed ""racist disenfrachisement"" led to only five polling places being open in Milwaukee for April 7 election.","By Lawrence Andrea • August 14, 2020"
124,false,"The Trump administration “added over 209,000 jobs, including 16,000 new manufacturing jobs, to Pennsylvania over the last three years.","By Jessica Calefati • August 14, 2020"
125,true,"Cal Cunningham ""voted for over $1 billion in new taxes.”","By Paul Specht • August 13, 2020"
126,false,An Illinois couple who received five vote-by-mail applications can vote five times.,"By Samantha Putterman • August 13, 2020"
127,barely-true,"Says Donald Trump “just promised that if he wins reelection, he’ll gut Social Security and Medicare.”","By Jon Greenberg • August 13, 2020"
128,mostly-true,"“Depending on which study you look at, either 68% or 5 out of 6 individuals ... are making more on unemployment than they did on the job.”","By Nusaiba Mizan • August 13, 2020"
129,half-true,Says Tommy Tuberville “is for privatizing Social Security and cutting Medicare.”,"By Jon Greenberg • August 13, 2020"
130,pants-fire,"Says Anthony Fauci, Bill Gates, George Soros and Jeffrey Epstein are connected with Moderna, Inc., and its efforts to create the coronavirus vaccine.","By Patrick Orsagos • August 13, 2020"
131,half-true,“DEVELOPING: Kamala’s sister takes hydroxychloroquine.”,"By Ciara O'Rourke • August 13, 2020"
132,barely-true,"Says Kamala Harris ""said she believed that Joe Biden committed sexual assault against various women.”","By Bill McCarthy • August 13, 2020"
133,false,“The Democrats don’t want to do anything having to do with protecting people from eviction.”,"By Sophie Austin • August 13, 2020"
134,false,"The FBI raided a “Cleveland office linked to Ukraine. Biden, Pelosi, Kerry and Romney all had sons getting tens of millions of dollars from no-show jobs in Ukraine.”","By Daniel Funke • August 13, 2020"
135,pants-fire,"Says Donald Trump tweeted, “WHO Thinks ‘Child Lifes Matter’ Should Be PAINTED In The STREETS OF HOLLYWOOD???”","By Ciara O'Rourke • August 13, 2020"
136,true,Says the U.S. Senate is “dominated by millionaires” and that he is “not one of them.”,"By Jessica Calefati • August 13, 2020"
137,false,Says Kamala Harris called Joe Biden “a racist” during a Democratic presidential debate.,"By Amy Sherman • August 12, 2020"
138,barely-true,"""Donald Trump says he will ‘terminate’ Social Security if re-elected.""","By Amy Sherman • August 12, 2020"
139,pants-fire,Say Joe Biden is a pedophile.,"By Samantha Putterman • August 12, 2020"
140,false,A graph shows the number of human trafficking arrests increased dramatically under President Donald Trump.,"By Noah Y. Kim • August 12, 2020"
141,barely-true,Says series of 11 photos are “from the 1918 flu pandemic.”,"By Madison Czopek • August 12, 2020"
142,pants-fire,Photo shows “Kamala Harris’s parents.”,"By Noah Y. Kim • August 12, 2020"
143,mostly-true,"Asked about asylum seekers in camps in Mexico, “This is the first time ever you've had to seek asylum in a third country.”","By Miriam Valverde • August 12, 2020"
144,mostly-true,“Central Park actually used to be a town called Seneca Village” founded by African Americans in 1825.,"By Hannah Roesch • August 12, 2020"
145,mostly-true,“34% of Wisconsin renters are at risk of eviction.”,"By D.L. Davis • August 12, 2020"
146,false,"If Joe Biden can’t serve his full term, Kamala Harris “cannot by constitutional law become president.”","By Louis Jacobson • August 11, 2020"
147,mostly-true,"“If the vaccine came out tomorrow, how in the heck would we get it to people? There is no game plan.”","By Amy Sherman • August 11, 2020"
148,false,"Says Ruth Bader Ginsburg said, “The age of consent for sexual acts must be lowered to age 12 years old.”","By Ciara O'Rourke • August 11, 2020"
149,pants-fire,Says Joe Biden owns a private island next to Jeffrey Epstein’s.,"By Bill McCarthy • August 11, 2020"
150,half-true,"Trump’s plan “would suspend the 7.65% your employer matches. See? You will NOT get that, nor will your wage or salary increase by 7.65%”","By Jon Greenberg • August 10, 2020"
151,half-true,"“Let me splain how ‘no payroll taxes’ helps you, it doesn’t. It helps employers.”","By Jon Greenberg • August 10, 2020"
152,half-true,“Killing the payroll tax means killing Social Security.”,"By Jon Greenberg • August 10, 2020"
153,false,President Donald Trump “put a hold on ALL EVICTIONS through December.”,"By Louis Jacobson • August 10, 2020"
154,false,"""Third party votes only siphon from (Democrats).”","By Eric Litke • August 10, 2020"
155,false,Photos from the movie “Lilo & Stitch” support child sex-trafficking conspiracy theories.,"By Ciara O'Rourke • August 10, 2020"
156,false,Says the coronavirus has a “99.9% recovery rate” in Texas.,"By Madlin Mekelburg • August 10, 2020"
157,false,"Says ""Pelosi blackmails Congress! She demands mail-in voting or no 2nd stimulus for you and your family.”","By Emily Venezky • August 7, 2020"
158,false,“Herd immunity has been reached.”,"By Ciara O'Rourke • August 7, 2020"
159,false,"Black Lives Matter ""injures 1000 police officers kills 36 people and does $8 billion in damage.""","By Tom Kertscher • August 7, 2020"
160,false,Video shows missile attack in Beirut explosion.,"By Jon Greenberg • August 7, 2020"
161,mostly-true,Photos show six fires around the world “in the last 24 hours.”,"By Ciara O'Rourke • August 7, 2020"
162,pants-fire,A photo showing Ellen DeGeneres with a girl is evidence of a child sex-trafficking conspiracy.,"By Ciara O'Rourke • August 7, 2020"
163,false,"The Beirut explosion was linked to “human trafficking by HRC.""","By Daniel Funke • August 7, 2020"
164,half-true,“3.8% of Wisconsin’s coronavirus funding has been spent.”,"By Haley BeMiller • August 7, 2020"
165,false,Photo shows Bill Clinton among others not wearing a mask at John Lewis’ funeral.,"By Ciara O'Rourke • August 7, 2020"
166,pants-fire,“This man funds #ANTIFA. He is a real #NAZI. His name is George Soros.”,"By Ciara O'Rourke • August 6, 2020"
167,false,Scores of politicians and others are on a “list” of sex cases from newly unsealed Ghislaine Maxwell court documents.,"By Tom Kertscher • August 6, 2020"
168,half-true,"“The retail market we participate in is extraordinarily large and competitive. Amazon accounts for less than 1% of the $25 trillion global retail market, and less than 4% of U.S. retail.”","By Emily Venezky • August 6, 2020"
169,barely-true,“The average cost of child care in this country is more than what it costs to send a child to college for one year.”,"By Sophie Austin • August 6, 2020"
170,true,"""The GOP lawyer who helped Kanye West get on the ballot in Wisconsin is actively working for Donald Trump's campaign.""","By Haley BeMiller • August 6, 2020"
171,pants-fire,"Says Angela Merkel is the daughter of Adolf Hitler, Justin Trudeau is the son of Fidel Castro and Barbara Bush is the daughter of Aleister Crowley.","By Ciara O'Rourke • August 6, 2020"
172,barely-true,"“When Byron Donalds wanted a state job, he lied, claiming he wasn’t a felon despite convictions for drugs and felony theft.”","By Amy Sherman • August 6, 2020"
173,false,"“The Beirut bombing today was directly next to the Lebanon Central Bank, which is also owned by the most evil deep state family, the Rothschilds. There are no coincidences.”","By Bill McCarthy • August 6, 2020"
174,false,"“CDC reports, but media silent on truth about April 7 Wisc election” not causing a spike in COVID-19 cases.","By Eric Litke • August 6, 2020"
175,barely-true,“California has six extra” congressional representatives “because illegals are counted” in the census.,"By Tom Kertscher • August 6, 2020"
176,barely-true,"“Mark Kelly criticized the (Paycheck Protection Program), then turned around and took money for his own multi-million dollar company.”","By Miriam Valverde • August 6, 2020"
177,false,Children are “almost immune from this disease.”,"By Amy Sherman • August 6, 2020"
178,mostly-true,There’s a “direct correlation” between North Carolina’s mask requirement and COVID-19 stabilization.,"By Paul Specht • August 5, 2020"
179,false,“Israel dropped a tactical nuclear weapon on the port of Beirut.”,"By Daniel Funke • August 5, 2020"
180,false,"Photo shows Angela Merkel, Theresa May and Dalia Grybauskaitė as teenagers.","By Ciara O'Rourke • August 5, 2020"
181,pants-fire,Say “Sam Hyde identified as perpitrator (sic) of Beirut explosion”,"By Jon Greenberg • August 5, 2020"
182,mostly-true,"“There have been five randomized controlled, placebo controlled trials that do not show any benefit to hydroxychloroquine.”","By Jon Greenberg • August 5, 2020"
183,mostly-true,"“...Virginia, more than any other state, had the steepest drop in the number of abortions between 2011 and 2017.”","By Warren Fiske • August 5, 2020"
184,false,“At John Lewis funeral Obama told a room full of people that rooms full of people is too dangerous so we must mail in vote.”,"By Ciara O'Rourke • August 5, 2020"
185,false,Photo shows “Myrtle Beach 30 minutes ago.”,"By Ciara O'Rourke • August 5, 2020"
186,false,Says “Joe Biden is absolutely on board with defunding the police.”,"By Laura Schulte • August 5, 2020"
187,pants-fire,Says Bubba Watson wrote a viral Facebook post about Black Lives Matter.,"By Ciara O'Rourke • August 4, 2020"
188,barely-true,Photo shows “7 Marines killed in training exercise yesterday.”,"By Ciara O'Rourke • August 4, 2020"
189,mostly-true,“Five veterinary labs have their CLIA certification to officially test human patients. There are a lot of labs who are doing surveillance testing that don't need the CLIA certification.”,"By Julie Appleby • August 4, 2020"
190,false,"Says Bill Gates said, “We need to develop a digital certificate that shows who has received all the vaccinations. Only those with all the required vaccinations may travel, visit churches, participate in sports and music events, get a job, etc.”","By Ciara O'Rourke • August 4, 2020"
191,mostly-true,Federal agents in Portland have been “kidnapping and holding citizens without charges.”,"By Jessica Calefati • August 4, 2020"
192,false,A photo shows a large crowd in Berlin protesting the “covid hoax.”,"By Samantha Putterman • August 3, 2020"
193,barely-true,"“You know what’s in this bill? No medical malpractice suits until 2024, even if they’re not COVID related.”","By Miriam Valverde • August 3, 2020"
194,barely-true,"Says Haley Stevens’ plan for “socialized medicine” would “eliminate 100,000 doctors and nurses.”","By Clara Hendrickson • August 3, 2020"
195,false,"“$258,000/month: Amount Blake Griffin will pay in child support to ex Brynn Cameron.”","By Ciara O'Rourke • August 3, 2020"
196,false,The White House doctored a photo of a Donald Trump event “to make the crowd look bigger.”,"By Tom Kertscher • August 3, 2020"
197,barely-true,"Under an executive order, “expensive insulin went from big dollars to virtual pennies … especially (for) our seniors.”","By Jon Greenberg • August 3, 2020"
198,false,“CNN is at it again. Putting a black guy’s head on a lily white dude to push an agenda.”,"By Ciara O'Rourke • August 3, 2020"
199,false,Says Target ended its “Heroes & Helpers” program that pairs children with police officers for holiday shopping trips.,"By Samantha Putterman • August 3, 2020"
200,false,Says Milwaukee police were protecting a sex offender's house and snuck children out of it after a mother tracked her missing daughter to that address.,"By Lawrence Andrea • August 3, 2020"
201,false,A study from the CDC and the WHO “proves face masks do not prevent the spread of a virus.”,"By Tom Kertscher • July 31, 2020"
202,false,Absentee voting is different from mail-in voting and has more protections against fraud.,"By Louis Jacobson • July 31, 2020"
203,false,"Says Herman Cain died of cancer, not COVID-19.","By Ciara O'Rourke • July 31, 2020"
204,false,Says George Floyd appeared on Judge Judy.,"By Ciara O'Rourke • July 31, 2020"
205,false,“The first Statue of Liberty given to the U.S. by France was a Black woman which the U.S. rejected.”,"By Noah Y. Kim • July 31, 2020"
206,barely-true,"“Mississippi got 10,145 warrants for unemployment fraud!!”","By Bill McCarthy • July 31, 2020"
207,barely-true,“Florida is doing over five times better” than New Jersey and New York in COVID-19 deaths per million people.,"By Tom Kertscher • July 31, 2020"
208,half-true,"“Right now, we are about 4% behind the (census) response rate where we were in 2010. But for Black and Latino and Native American communities, they’re behind by 10%.”","By Miriam Valverde • July 31, 2020"
209,pants-fire,Says Donald Trump was caught on a hot mic insulting his supporters.,"By Ciara O'Rourke • July 31, 2020"
210,false,Says actor Kurt Russell said this about the police.,"By Samantha Putterman • July 31, 2020"
211,false,A common cold can cause a positive COVID-19 test.,"By Ciara O'Rourke • July 31, 2020"
212,pants-fire,Says Tom Hanks’ name is on Jeffrey Epstein’s flight logs.,"By Samantha Putterman • July 31, 2020"
